source_id,name,source_type,coverage,primary_url,what_it_contains,key_fields,access_method,recommended_ingestion,refresh_cadence,robots_or_terms_note,pii_risk,priority,last_verified,confidence,notes
SRC-CTWI-START,CTWI How to Get Started,career_roadmap,Bay Area,https://ctwi.org/how-to-get-started/,Trade taxonomy; MC3/pre-apprenticeship partners; apprenticeship basics,trade_list;program_list;baseline_requirements,public_html,quarterly taxonomy refresh,quarterly,Public nonprofit page,low,P2,2026-09-12,high,"Useful for categories and partner discovery, not live openings."
SRC-CTWI-EMPLOYERS,CTWI Employers / MAPLA,employer_network_page,Bay Area,https://ctwi.org/employers/,Employer services; MAPLA relationships; contractor and union connections,partners;agreement;outcomes,public_html,quarterly and event-driven,quarterly,Public nonprofit page,low,P2,2026-09-12,medium_high,Good source for organization graph expansion.
SRC-DIR-AIG,California DIR Apprenticeship Program Search,government_registry,California; filter SF and Alameda,https://www.dir.ca.gov/databases/das/aigstart.asp,"Registered programs by county, trade and occupation",program;occupation;county;address;contact;term;wage_if_listed,public_html_query,monthly county snapshots; preserve registry date,monthly,Official state registry,low,P1,2026-09-12,high_for_registration_low_for_open_status,DIR explicitly warns that registration does not mean applications are open.
SRC-BC3-DIRECTORY,Building California Apprenticeship Program Directory,apprenticeship_directory,California,https://apprenticeship.cabuildingtrades.org/apprenticeship/apprenticeship-program-directory/,"Program names, addresses, phones, emails and trade categories",program;trade;address;phone;email,public_html,monthly; deduplicate against DIR,monthly,Public labor directory,low,P1,2026-09-12,high_for_contact_medium_for_freshness,Strong contact enrichment; does not indicate open applications.
SRC-SF-BUILDTRADES,SF Building Trades Affiliates,union_directory,San Francisco,https://sfbuildingtrades.org/affiliates,"Affiliated unions, addresses, phones and websites",union_name;trade;address;phone;website,public_html,monthly,monthly,Public labor council page,low,P2,2026-09-12,high,"Use to discover union nodes, then verify apprenticeship details elsewhere."
SRC-PORT-WORKFORCE,Port of Oakland Workforce Development,public_project_workforce_page,Oakland/Alameda,https://www.portofoakland.com/community/workforce-development,MAPLA geography; workforce goals; outcomes; partner ecosystem,local_area;goals;outcomes;partners,public_html,quarterly plus project-event updates,quarterly,Official Port page,low,P1,2026-09-12,high,Local-hire demand signal and partner graph.
SRC-PORT-MAPLA,Port of Oakland MAPLA Notice,public_agreement_pdf,Port of Oakland projects,https://www.portofoakland.com/wp-content/uploads/2024/07/MAPLA-Tenant-Notice-rev-2022.pdf,Covered-work rules and union hiring-hall routing,coverage_threshold;dispatch_route;exceptions,public_pdf,annual or when document changes,annual,Official public PDF,low,P2,2026-09-12,high,Explains why union hiring halls are critical supply routes.
SRC-SFPW-BIDS,SF Public Works Bid Opportunities,public_bid_portal,San Francisco,https://bidopportunities.apps.sfdpw.org/,"Active construction bids, scopes, estimates, deadlines, LBE and local-hire terms",contract_id;title;estimate;deadline;scope;LBE_goal;local_hire,public_html_table,daily; classify trade demand from scope with inference flag,daily,Official public procurement portal,low,P1,2026-09-12,high_for_project_medium_for_trade_inference,Creative upstream hiring signal; never label a bid as an individual job.
SRC-SF-CAREERS,City and County of San Francisco Careers,official_job_board,San Francisco,https://careers.sf.gov/,Official city job postings and application links,title;department;class;salary;published;deadline;requirements,public_html_and_SmartRecruiters,daily; use official posting as canonical,daily,Official job board; respect SmartRecruiters terms,low on listing; high in applications,P1,2026-09-12,high,Canonical status source for SF roles.
SRC-SF-CITYWIDE,SF Citywide Exam Opportunities,official_exam_feed,San Francisco,https://careers.sf.gov/one-application/,Continuous and class-based eligibility-list opportunities,title;class;recruitment_id;role_type;detail_url,public_html,daily; follow each detail page for deadlines,daily,Official SF careers page,low,P1,2026-09-12,high,Especially useful because one application can feed multiple later vacancies.
SRC-EBMUD-JOBS,EBMUD Job Opportunities,official_job_board,Alameda/East Bay,https://www.governmentjobs.com/careers/ebmud/,"Utility operations, maintenance, engineering and trades openings",title;salary;location;deadline;requirements;apply_url,GovernmentJobs_public_portal,daily link/feed check; official page canonical,daily,Respect GovernmentJobs terms and rate limits,low on listing; high in applications,P1,2026-09-12,high,Pair with EBMUD outreach events.
SRC-BAYWORK-JOBS,BayworkJobs,industry_job_aggregator,Bay Area water/wastewater,https://bayworkjobs.org/,Water and wastewater job postings from regional agencies,title;employer;location;salary;deadline;apply_url,public_html,daily; confirm on employer site,daily,Respect aggregator terms,low,P2,2026-09-12,medium,"Niche and useful, but open-ended deadlines require revalidation."
SRC-ACWDB,Alameda County WDB Job Seeker Resources,government_workforce_page,Alameda,https://acwdb.org/job-seekers/,"Training, OJT and AJCC resources",programs;providers;events;contact,public_html,monthly,monthly,Official workforce board site,low,P2,2026-09-12,high,Broad workforce source; add trade-specific tags only with evidence.
SRC-EASTBAYWORKS,EastBayWorks,ajcc_network_portal,Alameda and Contra Costa,https://www.eastbayworks.com/,"Career centers, workshops and recruitment events",location;event;date;registration;services,public_html,weekly events; quarterly locations,weekly,Public workforce portal,low,P2,2026-09-12,medium_high,Useful for supportive services and job fairs.
SRC-OAKLAND-LOCALHIRE,Oakland Local Resident Construction Hiring,government_local_hire_page,Oakland,https://www.oaklandca.gov/Business/Doing-Business-with-the-City/City-Contracting-Equity/Hire-Local-Residents-for-Construction-Jobs,Resident construction worker registration and contractor local-hire requests,worker_registry;skill_level;contractor_request_route,public_html_or_manual,monthly page check; link users to official intake,monthly,Official City page; availability may vary,high after intake,P1,2026-09-12,medium,Page was intermittently unavailable; do not mirror PII.
SRC-APRI,APRI SF Workforce Development,community_program_page,San Francisco,https://www.aprisf.org/workforce-development.html,CityBuild recruiting and contact,program;contact;phone;address,public_html,monthly; phone verification for sessions,monthly,Public nonprofit page,low,P2,2026-09-12,medium_high,Community-based referral channel.
SRC-YCD,Young Community Developers Services,community_program_page,San Francisco,https://www.ycdjobs.org/our-services,"Job readiness, CityBuild-related recruitment and placement services",programs;population;contact,public_html,monthly,monthly,Public nonprofit page,low,P2,2026-09-12,medium,Confirm exact intake windows directly.
SRC-BART-JOBS,BART Careers,official_job_board,SF and Alameda / regional,https://www.governmentjobs.com/careers/bart/,"Transit operations, facilities, track, electrical and maintenance roles",title;salary;location;deadline;requirements;apply_url,GovernmentJobs_public_portal,daily,daily,Respect GovernmentJobs terms and rate limits,low on listing; high in applications,P2,2026-09-12,high,Use job-description taxonomy only to classify live official postings.
SRC-CALJOBS,CalJOBS,state_job_board,California,https://www.caljobs.ca.gov/,Employer job listings and workforce services,title;employer;location;posting_date;apply_route,authenticated_or_public_portal,link/search integration first; avoid scraping authenticated results,daily_if_authorized,Follow portal terms; prefer official integrations,high in user profiles,P2,2026-09-12,medium,Broad backup source; geography and trade taxonomy needed.
SRC-CALCAREERS-GEO,CalCareers Geographic Search,state_job_board,California,https://calcareers.ca.gov/CalHRPublic/Search/GeographicalJobSearch.aspx,State jobs filtered by county/geography,classification;department;county;deadline;salary,public_portal,daily county searches or link integration,daily,Official state portal,low on listings,P2,2026-09-12,high,"Useful for maintenance, facilities and public-works classifications."
SRC-CALOPPS,CalOpps Job Search,public_sector_job_board,Bay Area and California local agencies,https://www.calopps.org/job-search,Local agency jobs including public works and utilities,title;agency;location;deadline;salary,public_portal,daily; canonicalize to agency listing when possible,daily,Respect portal terms,low on listings,P2,2026-09-12,medium_high,Good source for smaller cities and special districts.
SRC-APPRENTICESHIP-FINDER,Apprenticeship.gov Job Finder,federal_apprenticeship_search,United States,https://www.apprenticeship.gov/apprenticeship-job-finder,Apprenticeship openings and sponsor links,occupation;sponsor;location;apply_url,public_search,weekly geo searches; deduplicate against DIR and union sources,weekly,Official federal source,low,P2,2026-09-12,medium_high,Useful for non-union and national sponsors as well as local listings.
SRC-BACWA,BACWA Wastewater Career Links,industry_employer_directory,Bay Area,https://bacwa.org/members/wastewater-career-links/,Links to member wastewater agency career pages,agency;career_url;service_area,public_html,monthly directory refresh; daily follow of priority agency boards,monthly,Public association page,low,P2,2026-09-12,high_for_links,Creative employer discovery source for utility trades.
SRC-SF-PERMITS,San Francisco Building Permits Open Data,open_data_demand_signal,San Francisco,https://data.sfgov.org/,Nightly building-permit data usable to identify active construction clusters,permit_number;address;work_description;estimated_cost;status;dates;contractor,Socrata_API,daily via official API after selecting exact dataset/resource ID,daily,Use Socrata API and attribution,low_public_records,P2,2026-09-12,medium,Discovery source only until the exact dataset ID and contractor-field quality are validated.
SRC-SFO-CONSTRUCTION,SFO Construction Opportunities,public_project_portal,San Francisco/SFO,https://www.flysfo.com/business/construction-opportunities,Airport construction contracting and project opportunities,project;solicitation;deadline;prime;scope,public_html_or_documents,weekly; connect projects to contractors after award,weekly,Official airport site,low,P2,2026-09-12,medium,Upstream demand signal; use award notices to grow employer graph.
SRC-CRAIGSLIST-TRADES,Craigslist SF Bay Area Construction Jobs,secondary_job_board,Bay Area,https://www.craigslist.org/search/area/sfbay?hub=construction-jobs,Small-contractor and short-cycle construction postings,title;location;compensation;posted_date;url,link_only_or_terms_compliant_feed,manual/link-out only until terms and spam controls are implemented,daily_if_authorized,High terms/spam risk; do not scrape by default,medium,P3,2026-09-12,low_medium,"Creative long-tail source, but lower trust than unions and official boards."
SRC-VON-RESUME,Von public-safe demo resume profile,user_provided_resume,Demo worker only,,"Public-safe work history, training, certifications, skills and target role information",worker;experience;skills;certifications;training;matching_evidence,private_user_input,Manual demo seed only; do not publish raw resume or contact fields,manual,Not a web source; user-provided personal information,high_raw_source_low_public_safe_seed,P1,2026-09-12,high_for_stated_resume_content,"Repository version must use first name Von only and exclude phone, email, LinkedIn, street address and legal name."
